created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Dec 07 13:24:25 +0000 2023;1732752925204832630;"@Gus_Raharjo @ganjarpranowo menurutku Pak Ganjar adalah orang yang credible buat tuntaskan IKN. Ganjar Tuntaskan IKN";0;0;0;0;in;1708055923917533184;1732646210912296966;lupmpur;https://twitter.com/lupmpur/status/1732752925204832630
Thu Dec 07 13:24:19 +0000 2023;1732752902001971654;"@ganjarpranowo bner nih pak, pembangunan tuh harus merata";0;0;0;0;in;1636583757523349505;1732635553949212783;sunshin3ofskz;https://twitter.com/sunshin3ofskz/status/1732752902001971654
Thu Dec 07 13:24:16 +0000 2023;1732752889200951773;"@denni_sauya @ganjarpranowo Dukung selalu pak Ganjar Tuntaskan IKN";0;0;0;0;in;1360612027236950024;1732653227739693323;fakhri1920;https://twitter.com/fakhri1920/status/1732752889200951773
Thu Dec 07 13:24:11 +0000 2023;1732752870167236862;"@Anak__Ogi @ganjarpranowo Kan dengan nari dan gemoy ...IKN bisa selesai...mkmkmk...";0;0;0;0;in;1682989687072489472;1732658421122634132;jayaloho;https://twitter.com/jayaloho/status/1732752870167236862
Thu Dec 07 13:24:09 +0000 2023;1732752862051230142;"@ganjarpranowo Suatu niat yang baik untuk melanjutkan pembangunan IKN dan secara merata di indonesia";0;0;0;0;in;1689438463144415233;1732635553949212783;cahayyasukma;https://twitter.com/cahayyasukma/status/1732752862051230142
Thu Dec 07 13:24:04 +0000 2023;1732752840370889170;"Mulutmu Harimaumu #politik #politikindonesia #sindiranpolitik #partaipolitik #pemilu #pdip #hanura #nasdem #golkar #gerindra #perindo #pan #gelora #ganjarpranowo #mahfudmd #prabowo #gibran #anies #cakimin #fyp #fyp #fyp #asamsulfat #menolaklupa #melawanlupa https://t.co/tz20r14bAX";0;0;0;1;in;1713099219479994368;1732752840370889170;SindiranPolit1k;https://twitter.com/SindiranPolit1k/status/1732752840370889170
Thu Dec 07 13:23:58 +0000 2023;1732752814919877018;"Ganjar Pranowo, pemimpin yang punya visi jelas untuk kemajuan Indonesia. Kita dukung! @YTeamzz  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/q9iGaSR2QF";0;1;0;0;in;1684780626216615937;1732752814919877018;FreyaPrecilia;https://twitter.com/FreyaPrecilia/status/1732752814919877018
Thu Dec 07 13:23:57 +0000 2023;1732752810687791382;"Dukungan terhadap Ganjar Pranowo sebagai calon presiden 2024 semakin kuat dengan visinya untuk menjadikan IKN sebagai pusat inovasi ekonomi baru dan digital. @nadnays  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/4dbWQc9BDV";0;0;0;0;in;1684105506535931904;1732752810687791382;FirdaLesta78;https://twitter.com/FirdaLesta78/status/1732752810687791382
Thu Dec 07 13:23:52 +0000 2023;1732752788009127946;"Ganjar Pranowo selalu ada solusi untuk kebaikan masyarakat. KTP SAKTI ini contoh nyata komitmennya. @Ucisulaiman90  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/G0QnXWQnpM";0;0;0;0;in;1678346201392103426;1732752788009127946;YPragan42354;https://twitter.com/YPragan42354/status/1732752788009127946
Thu Dec 07 13:23:48 +0000 2023;1732752773622726979;"@TeddGus @mohmahfudmd @ganjarpranowo Wkwkwk 🤣🤣🤣 Segitunya 🤣🤣🤣  Emang boleh segibran ini  ?? 🤭";0;0;0;0;in;2292624098;1732709573222703474;RAbdinyo;https://twitter.com/RAbdinyo/status/1732752773622726979
Thu Dec 07 13:23:48 +0000 2023;1732752772435771431;"Ganjar Pranowo mendorong stabilisasi produksi dan pemanfaatan data pertanian untuk stabilkan harga bahan pokok.  #GanjarPemimpinPeduli https://t.co/LEL3vmRmt8";0;0;0;0;in;2599078351;1732752772435771431;JudyBermudo;https://twitter.com/JudyBermudo/status/1732752772435771431
Thu Dec 07 13:23:44 +0000 2023;1732752756342169846;"@ganjarpranowo keren bgtt pak Ganjar, kita mendukungmu pak";0;0;0;0;in;1562755733091143680;1732635553949212783;stayforlaip;https://twitter.com/stayforlaip/status/1732752756342169846
Thu Dec 07 13:23:39 +0000 2023;1732752732921188379;"Ganjar Pranowo mendorong stabilisasi produksi dan pemanfaatan data pertanian untuk stabilkan harga bahan pokok.  #GanjarPemimpinPeduli https://t.co/0eaGgIuNMv";0;0;0;0;in;1374213551825457152;1732752732921188379;Bela_Ganjar;https://twitter.com/Bela_Ganjar/status/1732752732921188379
Thu Dec 07 13:23:37 +0000 2023;1732752725119832570;"Kampanye di hari ke-9 Ganjar Pranowo berada di Kalimantan, dalam agendanya banyak pasar yang di datangi untuk menyapa pengunjung dan menyerap aspirasi.  Diketahui, Ganjar mendatangi 3 wilayah di Kalimantan Timur, yakni Balikpapan, Samarinda &amp  Kutai Kartanegara. #SahabatGanjar https://t.co/qg7MPwhKAK";0;0;26;41;in;1547134387694993409;1732752725119832570;ex_AnakLolina;https://twitter.com/ex_AnakLolina/status/1732752725119832570
Thu Dec 07 13:23:33 +0000 2023;1732752708053127482;"@ganjarpranowo kita wujudkan pembangunan yang adil dan merata bagi kesejahteraan rakyat Indonesia";0;0;0;0;in;1700000311300313088;1732635553949212783;HayeMils64684;https://twitter.com/HayeMils64684/status/1732752708053127482
Thu Dec 07 13:23:30 +0000 2023;1732752697307381827;"Ganjar Pranowo melihat IKN sebagai peluang besar untuk menghadirkan ekonomi baru dan digital di Indonesia. @neteyamekdi  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/PiX7IeOjkQ";0;0;0;0;in;1684302235046666240;1732752697307381827;nrfauziaaahh;https://twitter.com/nrfauziaaahh/status/1732752697307381827
Thu Dec 07 13:23:29 +0000 2023;1732752690437132502;"Kunjungan Ganjar Pranowo ke IKN menjadi momentum untuk membangun semangat kolektif dalam mewujudkan visi besar ini. @meuglemoo  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/Hlrg2TSdZg";0;0;0;0;in;1686686691938152448;1732752690437132502;jenitaafrll;https://twitter.com/jenitaafrll/status/1732752690437132502
Thu Dec 07 13:23:26 +0000 2023;1732752680278475179;"Program KTP SAKTI bikin hidup jadi lebih praktis. Ganjar Pranowo memang pejuang kemajuan! @vkeemtaehyung  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/YYQaxjtxS6";0;0;0;0;in;1686652745347133440;1732752680278475179;basteenck;https://twitter.com/basteenck/status/1732752680278475179
Thu Dec 07 13:23:26 +0000 2023;1732752679955538260;"Ganjar Pranowo mendorong stabilisasi produksi dan pemanfaatan data pertanian untuk stabilkan harga bahan pokok.  #GanjarPemimpinPeduli https://t.co/soFXN7dvJ5";0;0;0;0;in;2468573928;1732752679955538260;rannellie24;https://twitter.com/rannellie24/status/1732752679955538260
Thu Dec 07 13:23:24 +0000 2023;1732752671105528109;"@ganjarpranowo Wah gak ada gagasan lain selain melanjutkan. Ta minggir dl ke paslon lainnya";0;0;0;0;in;1558548948172042240;1732635553949212783;kretekmantab;https://twitter.com/kretekmantab/status/1732752671105528109
Thu Dec 07 13:23:17 +0000 2023;1732752640717750282;"@RizkiR4madani @ganjarpranowo Lanjutkan pqk, Ganjar Tuntaskan IKN";0;0;0;0;in;1708813286756806656;1732658879564313036;AyuKurn86713910;https://twitter.com/AyuKurn86713910/status/1732752640717750282
